timestamp,aX,aY,aZ,gX,gY,gZ
7989,579,707,-1.040,-14.282,-80.139,131.409
7997,555,799,-1.032,-7.019,-83.923,135.376
8005,550,840,-1.010,-977,-89.417,136.292
8014,549,858,-984,1.038,-95.581,132.935
8022,551,853,-957,-3.174,-101.440,127.319
8031,529,911,-910,-12.268,-106.750,121.765
8039,503,1.041,-849,-18.860,-112.793,117.859
8048,492,1.194,-724,-15.869,-120.178,114.990
8056,435,1.336,-545,-2.930,-127.319,112.610
8065,377,1.443,-322,15.320,-133.972,107.483
8073,338,1.461,-105,33.447,-136.108,97.595
8082,340,1.389,80,41.565,-129.578,81.360
8090,374,1.291,187,32.166,-112.976,61.462
8098,436,1.214,162,8.179,-89.233,41.870
8107,496,1.180,10,-19.836,-63.538,26.428
8115,541,1.186,-175,-41.138,-44.556,14.832
,,,,,,
8649,908,740,-991,-23.315,-88.623,57.007
8657,896,830,-980,-22.522,-98.083,55.664
8666,888,913,-932,-21.545,-108.704,53.589
8674,875,985,-876,-19.287,-117.798,50.720
8683,849,1.065,-800,-15.991,-126.038,47.791
8691,812,1.164,-707,-11.230,-133.789,45.166
8700,765,1.282,-611,-4.883,-139.832,42.175
8708,712,1.412,-527,1.221,-142.761,38.818
8716,681,1.540,-459,4.883,-142.761,34.241
8725,659,1.696,-427,4.761,-139.832,27.466
8734,625,1.854,-431,2.441,-135.010,19.592
8742,597,1.976,-418,1.404,-132.629,10.193
8750,549,2.083,-404,4.578,-133.057,-1.282
8759,493,2.126,-368,14.404,-136.597,-14.038
8768,443,2.083,-271,31.189,-143.188,-28.503
8776,396,1.994,-135,49.866,-149.475,-42.603
8784,345,1.887,20,64.758,-152.405,-54.749
8793,306,1.779,153,74.829,-150.818,-65.063
8802,264,1.667,281,82.031,-144.958,-74.402
8810,220,1.533,383,88.379,-135.071,-82.642
8818,182,1.400,458,93.140,-121.887,-89.050
8827,157,1.291,500,94.727,-106.201,-93.140
8835,123,1.184,510,93.933,-89.844,-96.191
8844,99,1.092,521,92.834,-75.745,-99.182
8852,84,1.014,527,92.468,-62.561,-100.952
8861,83,952,532,92.834,-49.377,-101.624
8869,68,893,523,94.482,-35.583,-100.586
8877,36,809,538,97.778,-22.156,-98.755
8886,29,737,511,99.792,-8.606,-97.351
8895,24,657,505,100.525,3.479,-97.168
8903,36,576,496,100.830,15.503,-98.938
8912,59,502,483,99.609,28.015,-100.403
8920,98,433,458,97.412,39.673,-100.891
8928,135,403,406,94.238,50.476,-101.196
8937,143,406,343,93.323,60.730,-100.281
8945,162,392,312,96.680,69.885,-99.060
8954,189,353,279,100.769,77.881,-98.389
8962,211,295,246,103.333,85.083,-98.511
8971,213,227,234,103.210,92.163,-98.938
8979,201,160,226,102.417,98.145,-97.717
8988,184,117,211,101.074,103.210,-94.299
8996,159,125,172,99.182,107.971,-88.257
9004,160,124,145,99.609,112.671,-80.566
9013,176,138,131,100.098,119.385,-71.594
9022,214,137,97,98.999,127.319,-64.270
9030,233,109,77,96.680,131.897,-62.073
9039,217,109,55,91.675,131.165,-63.416
9047,227,79,19,85.754,140.442,-65.063
9055,273,26,-45,78.003,144.592,-68.298
9064,311,-28,-125,67.383,149.536,-74.036
9072,336,-107,-202,58.716,150.940,-80.078
9081,368,-188,-243,54.260,147.156,-83.862
9089,382,-241,-255,54.626,139.954,-82.520
9098,377,-274,-234,60.791,131.287,-75.989
9106,349,-287,-173,71.411,124.512,-65.979
9114,296,-272,-129,82.214,123.535,-52.429
9123,262,-258,-125,89.600,128.113,-37.659
9131,286,-273,-157,88.806,136.963,-25.024
9140,351,-264,-240,76.721,149.963,-16.541
9148,417,-215,-383,57.495,162.109,-11.169
9157,476,-127,-515,40.283,167.969,-7.385
9165,524,-35,-601,31.677,165.833,-3.845
9174,537,16,-651,34.363,157.043,-1.221
9182,538,17,-638,45.898,142.700,183
9191,522,-42,-573,60.486,127.136,1.831
9199,489,-149,-494,69.458,115.845,3.906
9208,481,-263,-466,66.650,112.671,6.104
9216,526,-351,-529,48.584,119.080,9.460
9225,584,-348,-628,20.691,128.235,15.015
9233,706,-266,-756,-5.676,134.949,21.606
9242,620,-159,-907,-21.729,139.465,30.273
9250,628,-39,-983,-18.677,134.644,38.818
9259,622,2,-994,1.099,119.507,45.288
9267,631,-23,-962,17.334,113.525,48.340
9275,593,-74,-891,27.222,98.694,49.988
9284,586,-97,-868,27.466,88.867,55.176
9293,589,-73,-925,16.968,90.271,62.988
9301,612,-16,-1.056,2.930,97.595,71.350
9310,678,46,-1.217,-7.385,103.333,79.346
9318,731,123,-1.375,-13.000,102.722,85.266
9326,777,202,-1.498,-13.916,90.881,86.914
9335,802,267,-1.526,-7.751,66.895,84.534
9343,801,262,-1.442,3.906,35.706,80.505
9352,765,189,-1.248,18.494,5.066,77.393
9360,698,90,-1.054,28.687,-15.930,77.393
9369,662,25,-892,30.151,-24.292,81.726
9377,667,-7,-795,22.827,-20.752,90.088
9385,677,27,-807,7.080,-8.057,100.281
9394,662,170,-965,-12.451,8.301,112.000
9403,667,354,-1.158,-24.841,18.738,120.972
9411,677,482,-1.307,-23.987,17.212,124.207
9419,660,559,-1.372,-15.991,4.822,122.803
9428,656,554,-1.349,-7.202,-14.404,117.676
9436,641,485,-1.250,-2.563,-35.950,111.023
9445,609,393,-1.134,-3.357,-52.734,105.286
9453,589,310,-1.063,-9.949,-61.523,102.661
9462,599,299,-1.039,-21.606,-62.988,104.736
9470,595,376,-1.073,-33.447,-61.157,110.962
9479,583,504,-1.142,-38.574,-60.547,119.263
9487,569,632,-1.179,-33.997,-64.087,127.563
9495,552,718,-1.155,-22.888,-72.449,133.972
9504,526,752,-1.095,-11.230,-84.167,136.658
9513,498,745,-1.011,-5.005,-95.886,134.155
9521,485,696,-935,-5.981,-104.065,127.747
9529,500,649,-898,-14.648,-107.361,120.361
9538,516,664,-881,-28.259,-107.788,114.563
9546,542,742,-895,-40.161,-106.750,111.694
9555,561,844,-896,-45.044,-107.178,111.328
9563,567,939,-857,-40.588,-111.023,111.084
9572,546,1.039,-785,-28.687,-118.652,110.474
9580,515,1.092,-646,-13.489,-128.967,108.093
9589,482,1.127,-503,-671,-136.597,103.455
9597,477,1.120,-363,6.409,-139.709,95.459
9606,483,1.086,-260,4.944,-135.254,84.656
9614,503,1.047,-211,-4.883,-126.160,73.547
9623,529,1.045,-214,-20.996,-114.807,63.171
9631,565,1.120,-254,-38.086,-103.882,54.626
9639,567,1.212,-318,-48.523,-94.849,49.438
9648,539,1.318,-325,-46.021,-91.492,46.692
,,,,,,
10147,766,1.283,-626,-5.005,-105.347,54.260
10156,759,1.393,-588,-5.554,-108.826,44.678
10164,745,1.463,-512,-2.502,-114.136,35.278
10173,716,1.510,-405,4.639,-119.568,27.100
10182,673,1.563,-279,14.160,-123.108,21.362
10190,623,1.627,-157,23.804,-123.779,17.395
10198,561,1.691,-52,31.555,-121.521,12.207
10207,514,1.729,44,38.452,-117.676,3.479
10215,474,1.740,130,42.542,-110.596,-8.301
10224,457,1.702,199,41.687,-100.037,-23.010
10232,465,1.629,248,39.734,-89.844,-39.124
10241,487,1.540,283,37.598,-79.712,-54.626
10249,487,1.442,306,35.339,-69.580,-67.810
10258,488,1.346,310,34.363,-59.631,-76.843
10266,487,1.275,291,34.058,-49.377,-81.177
10274,467,1.220,275,35.522,-39.795,-82.275
10283,452,1.184,253,37.476,-31.189,-81.848
10292,428,1.154,224,39.124,-22.400,-81.482
10300,402,1.130,212,41.992,-14.648,-81.848
10308,408,1.121,193,45.898,-7.935,-82.947
10317,423,1.094,135,50.903,-1.099,-86.670
10326,433,1.022,102,58.899,3.357,-93.811
10334,454,927,82,66.956,5.798,-100.342
10343,451,859,72,73.242,5.737,-105.347
10351,434,800,68,77.881,6.104,-108.154
10359,409,738,70,83.679,6.714,-109.924
10368,390,672,83,90.088,7.935,-110.596
10376,386,613,100,94.910,11.108,-110.107
10385,374,563,122,96.680,16.479,-108.459
10393,345,555,137,95.947,23.071,-105.042
10402,314,552,155,93.933,30.640,-100.952
10410,300,534,162,92.041,38.574,-98.450
10419,289,493,172,90.332,45.959,-98.267
10427,273,432,191,88.318,52.124,-99.670
10436,257,366,213,85.388,58.838,-100.586
10444,236,325,226,82.397,65.796,-99.731
10452,207,302,220,81.055,72.144,-96.985
10461,187,271,210,82.092,78.430,-94.482
10469,173,234,198,84.656,83.679,-92.529
10478,170,186,189,87.769,87.952,-91.187
10486,164,121,190,90.271,92.041,-89.844
10495,162,66,199,90.271,96.313,-87.585
10503,162,15,206,87.158,102.173,-84.534
