timestamp,aX,aY,aZ,gX,gY,gZ
4549,781,-635,-138,-3.967,4.150,1.648
4557,783,-629,-137,-3.906,3.296,1.099
4566,783,-623,-139,-3.357,2.197,1.221
4574,776,-630,-140,-2.686,977,1.526
4583,766,-640,-141,-2.258,-488,1.648
4592,753,-645,-144,-2.014,-1.953,1.648
4600,742,-647,-143,-2.258,-2.319,1.587
4608,739,-649,-136,-2.563,-2.197,1.221
4617,735,-657,-132,-2.441,-1.221,916
4625,734,-656,-127,-2.747,-183,671
4634,739,-653,-128,-3.418,671,854
4642,749,-651,-125,-3.723,1.648,549
4651,756,-645,-120,-3.540,2.441,366
4659,763,-639,-125,-3.418,2.808,427
4667,771,-638,-126,-2.808,3.113,549
4676,775,-648,-129,-1.831,3.113,854
4684,777,-658,-131,-1.221,2.075,1.404
4693,777,-664,-133,-1.221,916,1.587
4701,772,-668,-134,-1.221,-122,1.404
4710,766,-668,-132,-1.343,-1.587,1.282
4718,756,-664,-130,-1.953,-2.625,1.404
4727,748,-658,-129,-2.625,-2.380,1.526
4735,748,-651,-126,-2.686,-1.099,1.221
4744,754,-645,-124,-2.808,977,854
4752,765,-641,-122,-2.686,2.686,488
4761,779,-636,-118,-1.953,3.723,183
4769,789,-641,-120,-1.221,3.723,-122
4778,790,-646,-120,-549,2.625,-366
4786,779,-649,-122,-366,610,-366
4794,762,-653,-126,-183,-2.136,-488
4803,742,-653,-129,183,-3.662,-549
4812,719,-658,-137,305,-4.028,-793
4820,701,-659,-140,-305,-3.662,-549
4828,691,-656,-138,-916,-2.319,0
4837,692,-659,-138,-1.160,-122,854
4845,702,-656,-137,-1.221,2.380,1.709
4854,725,-656,-137,-1.404,4.700,2.563
4862,748,-655,-132,-1.587,6.348,2.930
4871,766,-656,-128,-1.831,6.531,3.052
4879,780,-657,-126,-2.319,5.493,2.747
4888,784,-650,-126,-2.502,3.296,2.380
4896,781,-644,-123,-2.747,1.099,2.075
4905,776,-641,-123,-2.930,-488,1.953
4913,769,-640,-120,-2.930,-1.526,1.648
4922,767,-638,-120,-2.869,-1.587,977
4930,772,-635,-117,-2.930,-854,427
4939,776,-635,-118,-2.808,-549,183
4947,778,-635,-118,-2.502,-610,183
4956,776,-640,-120,-2.258,-1.465,671
4964,770,-645,-121,-1.892,-2.380,793
