timestamp,aX,aY,aZ,gX,gY,gZ
9930,176,46,956,-61,-17.151,-3.174
,,,,,,
10607,-363,547,2.989,-88.684,-65.186,-15.259
10616,-508,585,3.225,-66.101,-13.123,-13.550
10624,-518,607,3.197,-28.076,58.411,-7.019
10632,-367,564,2.974,22.034,128.174,3.052
10641,-227,462,2.835,66.345,162.964,12.939
10649,-244,266,2.852,90.332,165.955,15.503
10658,-316,121,2.763,98.328,181.763,15.808
10666,-324,52,2.501,99.854,223.572,20.691
10675,-302,2,2.176,98.877,264.221,29.236
10683,-327,-38,1.870,95.154,298.950,38.391
10692,-207,-1,1.598,89.111,334.229,48.462
10700,-175,80,1.416,81.055,348.999,55.847
10709,-200,167,1.306,70.374,350.403,56.702
10717,-298,234,1.139,56.519,355.652,51.270
10726,-370,267,857,43.396,375.610,44.373
10734,-400,312,518,34.851,400.879,39.490
10742,-384,320,185,31.311,413.757,35.889
10751,-292,339,-133,29.846,413.391,31.799
10759,-192,395,-356,30.762,398.926,27.771
10768,-122,438,-512,37.170,369.324,22.156
10777,-59,398,-658,44.983,333.862,14.709
10785,-59,357,-772,53.589,298.279,5.798
10794,-23,339,-877,62.439,264.832,-732
10802,14,274,-994,69.763,233.521,-5.310
10810,5,178,-1.124,79.041,206.848,-9.949
10819,22,99,-1.276,83.984,184.631,-11.292
10827,60,44,-1.440,82.458,166.077,-8.301
10836,111,20,-1.604,75.623,150.208,-3.479
10844,173,7,-1.760,64.026,134.460,2.075
10853,250,0,-1.883,49.316,116.150,7.751
10861,335,10,-1.961,32.532,93.994,13.062
10869,441,36,-1.968,15.442,68.604,17.578
10878,551,67,-1.903,-1.038,37.781,20.142
10887,628,95,-1.752,-15.259,2.441,18.799
10895,672,115,-1.516,-26.917,-34.729,14.038
10903,666,127,-1.242,-36.133,-70.496,7.324
10912,644,158,-977,-43.762,-99.365,1.404
10920,651,177,-716,-48.584,-123.047,-2.686
10929,646,186,-472,-49.927,-143.555,-6.165
10937,635,174,-246,-46.875,-158.386,-9.705
10946,610,144,-51,-41.443,-167.542,-12.024
10954,569,114,107,-34.607,-171.875,-12.573
10962,543,70,212,-27.527,-168.762,-11.597
10971,563,49,265,-21.118,-158.936,-8.728
10980,609,65,302,-13.855,-148.499,-3.784
10988,628,88,331,-4.761,-142.578,-183
10997,632,111,343,4.028,-139.465,1.038
11005,662,127,339,10.315,-136.292,-305
11014,691,83,345,13.611,-135.376,-4.639
11022,636,-16,351,12.512,-149.536,-13.916
11030,582,-126,467,4.517,-158.752,-20.020
11039,562,-160,578,-10.986,-153.137,-18.921
11048,587,-106,690,-29.053,-146.729,-13.000
11056,628,-18,798,-40.771,-140.869,-6.287
11064,623,38,885,-42.053,-136.719,-1.892
11073,583,87,898,-34.546,-131.470,3.113
11081,560,129,843,-21.912,-125.061,8.057
11089,589,151,758,-7.080,-115.906,10.681
11098,604,171,635,5.249,-109.985,10.010
