# Inicio de la captura de datos
-0.841,-0.120,0.903,41.870,35.767,-209.656
-0.802,-0.115,0.835,53.894,14.648,-200.256
-0.741,-0.156,0.748,66.162,-12.756,-187.256
-0.642,-0.235,0.721,75.378,-33.569,-175.171
-0.576,-0.297,0.722,83.923,-46.631,-167.358
-0.442,-0.393,0.895,93.262,-53.955,-161.926
-0.495,-0.506,0.652,97.351,-66.345,-155.762
-0.296,-0.566,0.954,98.816,-44.800,-150.391
-0.299,-0.615,0.946,92.163,-44.922,-148.743
-0.340,-0.618,0.937,76.233,-55.115,-148.499
-0.341,-0.651,0.870,59.998,-45.288,-143.127
-0.280,-0.683,0.892,40.222,-21.240,-134.827
-0.261,-0.711,0.945,22.705,-3.357,-130.798
-0.246,-0.735,0.967,14.893,1.404,-127.014
-0.252,-0.743,0.955,19.043,-1.831,-121.765
-0.244,-0.712,0.960,32.471,-6.348,-116.211
-0.210,-0.674,0.944,47.180,-10.376,-111.511
-0.177,-0.634,0.958,56.641,-14.038,-107.666
-0.147,-0.617,0.948,58.533,-16.663,-105.042
-0.157,-0.593,0.961,51.758,-18.677,-103.577
-0.154,-0.569,1.005,37.781,-19.348,-102.356
-0.128,-0.598,1.060,16.968,-18.005,-101.868
-0.117,-0.643,1.119,-9.277,-14.526,-103.821
-0.156,-0.707,1.182,-37.598,-11.902,-107.971
-0.173,-0.743,1.235,-65.857,-9.094,-110.901
-0.181,-0.814,1.315,-88.257,-5.737,-110.718
-0.221,-0.916,1.413,-97.534,-1.526,-106.689
-0.222,-0.964,1.429,-88.013,5.920,-92.957
-0.192,-0.941,1.368,-61.462,16.418,-72.266
-0.179,-0.901,1.288,-28.259,22.095,-54.321
-0.173,-0.787,1.183,-0.488,19.287,-39.001
-0.132,-0.631,1.074,16.357,13.123,-22.278
-0.084,-0.459,0.971,19.470,8.545,-7.019
-0.033,-0.282,0.899,8.118,8.118,5.554
0.021,-0.117,0.850,-13.794,9.399,15.686
0.059,-0.002,0.839,-37.964,9.216,21.423
0.083,0.096,0.849,-55.115,7.324,24.475
0.135,0.164,0.897,-57.068,2.136,26.794
0.166,0.223,0.933,-39.307,-7.202,27.161
0.206,0.224,0.945,-5.981,-16.724,23.621
0.234,0.227,0.896,29.236,-23.376,16.479
0.212,0.191,0.860,51.819,-22.949,6.775
0.146,0.113,0.848,52.124,-16.785,-2.869
0.089,0.037,0.807,32.288,-7.690,-8.057
0.055,-0.016,0.763,6.104,0.610,-7.751
0.032,-0.089,0.769,-12.756,3.357,-5.005
0.013,-0.113,0.793,-23.132,0.793,-0.671
0.018,-0.099,0.804,-23.621,-5.127,6.348
0.041,-0.092,0.815,-16.235,-11.963,13.916
0.061,-0.050,0.840,-7.446,-19.470,18.677
0.068,0.019,0.869,-0.549,-25.940,20.508
0.075,0.074,0.899,2.869,-31.006,20.813
0.081,0.113,0.943,1.587,-32.715,19.348
0.078,0.145,0.976,-4.089,-30.151,16.418
0.075,0.145,1.003,-10.559,-24.170,12.695
0.062,0.142,1.023,-16.235,-16.479,8.362
0.045,0.141,1.038,-19.226,-9.521,4.578
0.039,0.133,1.045,-17.883,-5.005,1.953
0.030,0.109,1.039,-13.306,-2.991,0.671
0.040,0.109,1.010,-6.226,-2.380,1.282
0.028,0.112,0.972,0.732,-4.272,2.563
0.026,0.128,0.976,4.761,-6.775,2.136
0.032,0.144,0.964,4.883,-7.263,1.526
0.038,0.146,0.969,3.723,-6.714,1.465
0.038,0.137,0.974,1.953,-4.700,0.793
0.039,0.143,0.962,0.122,-2.441,-0.183
0.034,0.138,0.951,0.000,-0.427,-0.854
0.035,0.141,0.936,0.732,1.099,-1.587
