# Inicio de la captura de datos
0.151,-0.368,0.675,19.531,207.764,70.740
0.151,-0.338,0.569,14.648,206.787,79.590
0.169,-0.340,0.459,3.357,205.383,87.708
0.152,-0.282,0.456,-12.329,204.041,94.482
0.164,-0.245,0.366,-17.700,222.595,96.497
0.224,-0.251,0.356,-18.616,238.586,96.008
0.268,-0.178,0.366,-20.081,229.553,93.384
0.256,-0.192,0.296,-13.306,223.694,93.384
0.200,-0.221,0.218,-8.179,219.604,92.346
0.219,-0.228,0.136,-7.202,215.027,91.125
0.243,-0.206,0.116,-8.240,207.214,91.187
0.246,-0.189,0.057,-8.606,199.585,94.360
0.238,-0.169,0.022,-12.512,191.528,99.609
0.246,-0.155,0.059,-19.653,184.265,104.797
0.247,-0.101,0.100,-23.621,178.040,107.544
0.238,-0.067,0.062,-21.057,174.744,106.873
0.236,-0.080,-0.000,-17.334,173.706,105.164
0.246,-0.041,0.011,-18.616,170.471,103.882
0.271,-0.030,-0.009,-18.860,166.260,103.210
0.276,-0.057,-0.031,-20.691,164.124,103.516
0.294,-0.028,0.026,-27.649,162.598,104.980
0.307,0.081,0.053,-29.907,163.513,104.065
0.240,0.229,-0.036,-20.752,173.096,101.318
0.152,0.428,-0.219,-9.460,188.477,97.168
-0.021,0.814,-0.444,0.366,201.477,87.585
-0.223,1.160,-0.885,21.057,212.646,72.632
-0.506,1.545,-1.587,52.612,223.938,58.533
-0.774,1.859,-2.462,91.125,227.173,43.457
-0.871,1.845,-3.507,117.676,213.196,29.358
-0.780,1.692,-4.000,92.773,170.959,25.635
-0.578,1.517,-4.000,15.198,91.492,26.855
-0.333,1.233,-3.587,-61.096,-10.193,20.996
-0.090,0.920,-2.488,-88.989,-96.619,9.644
0.123,0.621,-1.437,-72.876,-145.081,-2.380
0.182,0.285,-0.724,-43.213,-164.673,-16.846
0.336,0.009,-0.200,-20.813,-164.490,-31.006
0.498,-0.140,0.135,-9.094,-152.222,-38.818
0.594,-0.207,0.201,-1.587,-132.690,-39.001
0.686,-0.191,0.083,4.272,-107.605,-35.522
0.760,-0.100,-0.142,7.751,-86.243,-33.508
0.763,0.053,-0.370,8.972,-75.623,-32.776
0.737,0.194,-0.563,7.751,-71.899,-33.020
0.722,0.291,-0.726,6.531,-70.984,-35.461
0.713,0.392,-0.866,8.728,-77.820,-39.124
0.650,0.506,-0.967,15.381,-94.971,-43.457
0.614,0.573,-1.032,23.926,-119.995,-49.133
0.575,0.576,-1.071,32.654,-148.743,-53.955
0.501,0.571,-1.021,33.386,-177.673,-54.321
0.457,0.537,-0.935,29.053,-202.332,-56.213
0.411,0.511,-0.829,25.940,-217.896,-59.937
0.300,0.470,-0.724,25.146,-229.065,-60.852
0.306,0.425,-0.567,23.621,-242.432,-58.411
0.301,0.402,-0.362,24.780,-247.559,-57.312
0.280,0.304,-0.151,33.447,-245.483,-59.143
0.200,0.292,0.073,45.166,-241.272,-66.528
0.228,0.259,0.133,57.312,-234.863,-77.087
0.242,0.240,0.080,65.430,-225.037,-88.196
0.163,0.178,-0.023,68.848,-218.384,-96.130
0.176,-0.011,-0.094,69.275,-221.069,-90.393
0.125,-0.111,-0.157,64.636,-226.379,-74.890
0.059,-0.132,-0.119,54.871,-232.361,-56.091
0.002,-0.164,0.040,39.307,-247.131,-38.391
-0.060,-0.104,0.362,23.987,-266.052,-26.123
0.016,-0.135,0.682,27.405,-278.870,-27.405
-0.003,-0.172,1.059,47.119,-281.250,-37.659
-0.004,-0.230,1.306,77.271,-273.621,-51.636
0.050,-0.242,1.325,106.873,-263.062,-72.388
-0.036,-0.086,1.191,119.263,-247.559,-90.149
-0.076,-0.220,0.913,108.093,-232.178,-93.018
-0.112,-0.420,0.777,58.716,-230.408,-85.815
-0.101,-0.436,0.895,-10.010,-230.408,-77.515
-0.109,-0.455,0.971,-56.763,-223.511,-66.040
-0.086,-0.482,1.142,-66.650,-214.844,-49.500
0.398,-0.392,1.550,-43.396,-177.612,-28.503
-0.004,-0.147,1.172,-0.732,-169.861,-19.653
-0.116,-0.327,1.400,75.867,-186.340,-33.936
-0.169,-0.455,1.595,122.009,-180.237,-59.631
-0.132,-0.228,1.398,115.662,-133.118,-88.867
-0.629,-0.034,1.371,99.121,-104.858,-113.037
-0.079,-0.005,1.186,15.076,-120.667,-118.591
0.125,-0.077,1.401,-142.029,-104.675,-100.586
-0.126,-0.253,1.407,-354.736,19.104,-64.514
-0.116,-2.048,0.611,-603.577,128.418,-79.285
-0.307,-3.184,1.039,-260.681,71.472,-117.493
-0.009,-0.628,1.977,-350.708,3.357,105.286
0.787,0.106,3.233,-850.586,-26.978,291.443
0.781,1.222,1.963,-736.511,-13.062,298.828
0.901,1.171,1.349,-399.841,-20.508,225.708
0.946,0.989,1.097,114.929,-40.222,141.785
0.597,0.716,1.118,435.913,-77.759,84.778
0.419,0.584,1.046,226.868,-81.604,69.214
0.512,0.652,1.027,-149.048,-62.805,69.092
0.477,0.770,0.729,-242.249,-49.805,69.946
0.281,0.746,0.518,-200.317,-48.279,63.904
0.415,0.675,1.093,-133.911,-76.538,48.157
0.561,0.587,0.756,109.131,-87.402,25.085
0.427,0.702,0.876,60.669,-87.219,26.123
0.351,0.688,0.763,50.781,-85.022,21.484
0.151,0.596,0.834,128.967,-100.525,14.771
0.070,0.557,0.792,135.254,-115.234,2.869
0.144,0.154,0.963,78.125,-123.718,-9.583
0.082,0.206,0.919,53.101,-118.591,-2.563
0.088,0.283,0.906,54.077,-107.483,13.062
0.135,0.225,0.969,59.082,-93.018,28.137
0.178,0.370,0.963,53.406,-81.726,45.288
0.209,0.694,1.008,56.580,-75.623,61.523
0.209,0.850,0.972,53.162,-71.533,57.373
0.154,0.819,0.910,56.763,-68.115,36.011
0.111,0.719,0.865,45.837,-66.162,16.541
-0.024,0.592,0.902,30.884,-64.148,4.456
-0.023,0.513,0.926,-19.897,-59.937,-3.174
0.060,0.619,0.986,-95.520,-55.908,-8.972
0.250,0.531,0.916,-167.725,-61.035,-14.343
0.074,0.484,0.877,-216.797,-95.581,-7.629
-0.096,0.463,0.798,-208.130,-135.620,-13.794
